Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,10 word summary,Place of Publish (1st author),Country of Publication (1st Author),Place of Publish,Country of Publication (Rest of authors),Place of Work,Type of Document,Method of Research,Method of Research,Method of Research,Method of Research,Method of Research,Method of Research,Method of Research,Method of Research,GSRank,QueryDate,Type,Second Keyword,,,,,,,,,,,
,,,,,,,,,(University/company),,(University of all authors),,(country),"book, chapter, article, dissertation, or soft",case study,theory,experiment (research/empirical),review,meta-analysis,letters or communications,applied (framework),professional communications,,,,,,,,,,,,,,,
58,"HG van der Roest, FJM Meiland…",What do community-dwelling people with dementia need? A survey of those who are known to care and welfare services,2009,International …,Cambridge Univ Press,http://journals.cambridge.org/abstract_S1041610209990147,"http://scholar.google.com/scholar?cites=2562485159605234196&as_sdt=2005&sciodt=0,5&hl=en&num=20",**Study of dementia and dementia communities need asessment,"VU University Medical Center, Radboud University Nijmegen Medical Center",NL,n/a,"NL, NL, NL, NL, NL, NL, NL",NL,Scholarly Article,,,,,,,,,26,3/30/2015,,low-income,,,,,,,,,,,
36,C Branker,Deserving Design: The New Generation of Student Veterans.,2009,Journal of Postsecondary Education and Disability,ERIC,http://wfe.smc.edu/StudentServices/DisabilityResources/Documents/Journal_for_Postsecondary_Education___Disability-Special_Issue_on_Vets/JPED_Veterans_journal.pdf#page=62,"http://scholar.google.com/scholar?cites=588529740949482531&as_sdt=2005&sciodt=0,5&hl=en&num=20",**article integrates research on undergraduate education and Universal Design (UD) for university environment for student veterans with disabilities,North Carolina State University,US,n/a,n/a,US,Scholarly Article,,,,,,,,,1,3/30/2015,,low-income,,,,,,,,,,,
23,"BE Kolko, C Putnam","Computer games in the developing world: the value of non-instrumental engagement with ICTs, or taking play seriously",2009,Information and Communication …,ieeexplore.ieee.org,https://drive.google.com/open?id=0B_bAdNcWxr9KNGwtYTFUUUY5OWM,"http://scholar.google.com/scholar?cites=1094111052444202223&as_sdt=2005&sciodt=0,5&hl=en&num=20","study non-instrumental uses of ICT, including computer games. The article makes the case that games can be a source of informal learning about ICT, and as such, games and gaming culture in the developing world merit further study.",University of Washington,US,n/a,US,"KZ, KG, TJ, UZ",Scholarly Article,,,,,,,,,221,4/1/2015,,developing countries,developing world,international development,,,,,,,,,
22,"J Park, SH Han, HK Kim, Y Cho…","Developing elements of user experience for mobile phones and services: survey, interview, and observation approaches",2013,Human Factors and …,Wiley Online Library,https://drive.google.com/open?id=0B_bAdNcWxr9KOUVka25QeXF3VFU,"http://scholar.google.com/scholar?cites=8031350728221679920&as_sdt=2005&sciodt=0,5&hl=en&num=20","Developing Elements of User Experience for Mobile Phones and Services: Survey, Interview, and Observation Approaches",Pohang University of Science and Technology,KR,n/a,"KR, KR, KR, KR",KR,Scholarly Article,,,,,,,,,208,3/30/2015,,low-income,,,,,,,,,,,
20,"A Lindgren, F Chen, PW Jordan, H Zhang",Requirements for the design of advanced driver assistance systems-The differences between Swedish and Chinese drivers,2008,International Journal of …,ijdesign.org,http://www.ijdesign.org/ojs/index.php/IJDesign/article/view/354,"http://scholar.google.com/scholar?cites=15982017044158146597&as_sdt=2005&sciodt=0,5&hl=en&num=20","Research was conducted to discover problems facing Chinese drivers, how those differ from those for drivers in a country with a more developed driving culture (Sweden), impact on design of Advanced Driver Assistance Systems",Chalmers University of Technology in Gothenburg Sweden,SE,Sino-European Usability Center of Dalian Maritime University in Dalian China,"SE, SE, CN","SE, CN",Scholarly Article,1,,1,,,,1,,24,4/1/2015,,developing countries,,,,,,,,,,,
19,"ML Best, D Thakur, BE Kolko",The contribution of user-based subsidies to the impact and sustainability of telecenters-the eCenter project in Kyrgyzstan,2009,Information and Communication …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=5426709,"http://scholar.google.com/scholar?cites=6016989793138554138&as_sdt=2005&sciodt=0,5&hl=en&num=20",examine the extent to which user-based subsidies can promote the sustainability and development impact of telecenters,n/a,US,n/a,"US, US",KG,Scholarly Article,,,,,,,,,186,4/1/2015,,poverty,developing countries,international development,,,,,,,,,
18,"L Barnard, J Wesson",A trust model for e-commerce in South Africa,2004,… on IT research in developing countries,dl.acm.org,https://drive.google.com/open?id=0B_bAdNcWxr9KQmFtLVV6aXVNejQ,"http://scholar.google.com/scholar?cites=9122440059377747827&as_sdt=2005&sciodt=0,5&hl=en&num=20",Evaluation of several electronic commerce sites in South Africa,n/a,ZA,n/a,ZA,ZA,Scholarly Article,,,,,,,,,641,4/1/2015,,developing countries,,,,,,,,,,,
15,"S Bucolo, JH Matthews",Using a design led disruptive innovation approach to develop new services: Practising innovation in times of discontinuity,2010,… : Practicing Innovation in the Times of …,eprints.qut.edu.au,http://eprints.qut.edu.au/38457,"http://scholar.google.com/scholar?cites=7114442823749302782&as_sdt=2005&sciodt=0,5&hl=en&num=20",explores a design led approach to innovation to assist medical device companies develop new healthcare services and experiences -away from market competitivity\,Queensland University of Technology,AU,n/a,AU,"IN, CH",Scholarly Article,,1,1,,,,,,1,3/30/2015,,developing economies,,,,,,,,,,,
14,"LM Haverhals, CA Lee, KA Siek, CA Darr…",Older adults with multi-morbidity: medication management processes and design implications for personal health applications,2011,Journal of medical …,ncbi.nlm.nih.gov,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3221383/ ,"http://scholar.google.com/scholar?cites=12495412564196534194&as_sdt=2005&sciodt=0,5&hl=en&num=20",objective of study was to understand the medication self-management issues faced by older adults and caregivers that can be addressed by technology,"School of Medicine University of Colorado Anschutz Medical Campus, School of Pharmacy in Southern Illinois University Edwardsville, Department of Computer Science in University of Colorado Boulder, Department of Health and Behavioral Sciences in University of Colorado Denver, Colorado REAP (Research Enhancement Award Program) to Improve Care Coordination in Veterans Affairs Medical Center",US,n/a,"US, US, US, US, US, US",US,Scholarly Article,1,,1,,,,1,,9,3/30/2015,HTML,low-income,,,,,,,,,,,
