Pairs of publishing authors and their number of publications: 
D Thakur, B Kolko 1
E Rose, B Kolko 1
R Walton, B DeRenzi 1
F Chen, PW Jordan 1
S Sriboorapa, C Pulkate 1
B Ariyatum, P Sirisalee 1
C Putnam, R Walton 1
E Derksen, HPJ van Hout 1
C Driesbach, B Kolko 1
J Hey, C Newman 1
E Rose, R Walton 1
HPJ van Hout, RM Droes 1
C Lohachit, W Fungladda 1
A Dekhtyar, B Goldstein 1
WARWM Isa, S Mehad 1
HC Comijs, APD Jansen 1
A Tibuzzi, X Hua 1
S Shahid, E Krahmer 1
C Putnam, E Rose 1
J Goldsmith, KK Mathias 1
WARWM Isa, NLM Noor 1
C Putnam, B Kolko 1
E Johnson, B Kolko 1
APD Jansen, C Jonker 1
A Lindgren, PW Jordan 1
E Derksen, RM Droes 1
E Derksen, APD Jansen 1
HG van der Roest, E Derksen 1
KK Mathias, C Isenhour 1
HG van der Roest, HC Comijs 1
A Dekhtyar, KK Mathias 1
FJM Meiland, APD Jansen 1
APD Jansen, HPJ van Hout 1
W Fungladda, S Sriboorapa 1
B Kolko, C Putnam 1
NLM Noor, S Mehad 1
N Poosanthanasarn, S Sriboorapa 1
A Dekhtyar, J Goldsmith 1
JS Sandhu, D Amarsaikhan 1
F Chen, H Zhang 1
KL Kumar, M Bhattacharya 1
C Jonker, RM Droes 1
N Poosanthanasarn, C Pulkate 1
HC Comijs, HPJ van Hout 1
C Driesbach, A Seidakmatova 1
HG van der Roest, C Jonker 1
B Kolko, A Seidakmatova 1
APD Jansen, RM Droes 1
I Hussein, E Seman 1
HC Comijs, C Jonker 1
HG van der Roest, APD Jansen 1
A Lindgren, H Zhang 1
ML Best, B Kolko 1
JS Sandhu, AM Agogino 1
HPJ van Hout, C Jonker 1
HC Comijs, E Derksen 1
R Walton, A Seidakmatova 1
J Goldsmith, B Goldstein 1
HC Comijs, RM Droes 1
JS Sandhu, J Hey 1
B Goldstein, KK Mathias 1
R Holland, P Sirisalee 1
FJM Meiland, HPJ van Hout 1
J Hey, AM Agogino 1
A Lindgren, F Chen 1
E Derksen, C Jonker 1
HG van der Roest, FJM Meiland 1
FJM Meiland, RM Droes 1
C Lohachit, C Pulkate 1
P Altankhuyag, D Amarsaikhan 1
E Johnson, O Salikhbaeva 1
E Seman, M Mahmud 1
R Holland, D Prommin 1
I Hussein, M Mahmud 1
M Kam, X Hua 1
B Ariyatum, D Prommin 1
HG van der Roest, RM Droes 1
M Kam, A Tibuzzi 1
B Goldstein, C Isenhour 1
L Barnard, J Wesson 1
J Goldsmith, C Isenhour 1
HG van der Roest, HPJ van Hout 1
N Poosanthanasarn, C Lohachit 1
ML Best, D Thakur 1
C Lohachit, S Sriboorapa 1
W Fungladda, C Pulkate 1
FJM Meiland, C Jonker 1
N Poosanthanasarn, W Fungladda 1
A Dekhtyar, C Isenhour 1
B Kolko, O Salikhbaeva 1
JS Sandhu, P Altankhuyag 1
C Newman, AM Agogino 1
FJM Meiland, HC Comijs 1
B Ariyatum, R Holland 1
JS Sandhu, C Newman 1
PW Jordan, H Zhang 1
C Driesbach, R Walton 1
P Sirisalee, D Prommin 1
FJM Meiland, E Derksen 1
R Walton, B Kolko 2
