Author,Number of Papers,,
HC Comijs,1,,
HG van der Roest,1,,
M Bhattacharya,1,,
J Goldsmith,1,,
B Goldstein,1,,
P Sirisalee,1,,
R Holland,1,,
A Lindgren,1,,1.133333333
FJM Meiland,1,,
KK Mathias,1,,
S Sriboorapa,1,,
C Lohachit,1,,
A Seidakmatova,1,,
J Hey,1,,
I Hussein,1,,
HPJ van Hout,1,,
PW Jordan,1,,
K Pecknold,1,,
S Mehad,1,,
L Barnard,1,,
E Derksen,1,,
NLM Noor,1,,
R Rege,1,,
E Krahmer,1,,
D Amarsaikhan,1,,
M Mahmud,1,,
B DeRenzi,1,,
D Prommin,1,,
J Wesson,1,,
E Rose,1,,
N Poosanthanasarn,1,,
WARWM Isa,1,,
RM Droes,1,,
C Jonker,1,,
KL Kumar,1,,
O Salikhbaeva,1,,
X Hua,1,,
C Isenhour,1,,
M Kam,1,,
F Chen,1,,
C Newman,1,,
W Fungladda,1,,
C Driesbach,1,,
D Thakur,1,,
P Altankhuyag,1,,
APD Jansen,1,,
H Zhang,1,,
A Tibuzzi,1,,
AM Agogino,1,,
C Pulkate,1,,
ML Best,1,,
E Seman,1,,
E Johnson,1,,
A Dekhtyar,1,,
B Ariyatum,1,,
S Shahid,1,,
C Putnam,2,,
JS Sandhu,2,,
R Walton,3,,
B Kolko,5,,
