First Author,2,3,4,5,6,7,8
HG van der Roest,FJM Meiland,HC Comijs,E Derksen,APD Jansen,HPJ van Hout,C Jonker,RM Droes
B Kolko,C Putnam,,,,,,
ML Best,D Thakur,B Kolko,,,,,
C Putnam,E Rose,R Walton,B Kolko,,,,
R Walton,B DeRenzi,,,,,,
A Dekhtyar,J Goldsmith,B Goldstein,KK Mathias,C Isenhour,,,
C Driesbach,R Walton,B Kolko,A Seidakmatova,,,,
WARWM Isa,NLM Noor,S Mehad,,,,,
R Rege,,,,,,,
I Hussein,E Seman,M Mahmud,,,,,
E Johnson,B Kolko,O Salikhbaeva,,,,,
K Pecknold,,,,,,,
S Shahid,E Krahmer,,,,,,
B Ariyatum,R Holland,P Sirisalee,D Prommin,,,,
