Author,Degrees,,
K Pecknold,0,,
Z Ying,0,,
M Bhattacharya,1,,
J Matovu,1,,3.848101266
JH Matthews,1,,
S Bucolo,1,,
B DeRenzi,1,,
R Rege,1,,
J Wesson,1,,
E Krahmer,1,,
S Nagarkar,1,,
L Barnard,1,,
S Shahid,1,,
KL Kumar,1,,
R Hinman,1,,
M Kam,2,,
S Mehad,2,,
E Seman,2,,
N Werghi,2,,
E Johnson,2,,
M Al Blushi,2,,
WARWM Isa,2,,
D Thakur,2,,
X Hua,2,,
P Altankhuyag,2,,
NLM Noor,2,,
D Amarsaikhan,2,,
F Kamoun,2,,
ML Best,2,,
A Tibuzzi,2,,
O Salikhbaeva,2,,
AW Yeo,2,,
PW Jordan,3,,
H Zhang,3,,
B Ariyatum,3,,
R Holland,3,,
AM Agogino,3,,
C Newman,3,,
A Lindgren,3,,
I Hussein,3,,
D Prommin,3,,
A Seidakmatova,3,,
E Rose,3,,
M Mahmud,3,,
J Hey,3,,
P Sirisalee,3,,
C Putnam,3,,
F Chen,3,,
C Driesbach,3,,
J Goldsmith,4,,
C Pulkate,4,,
N Poosanthanasarn,4,,
C Lohachit,4,,
A Dekhtyar,4,,
W Fungladda,4,,
C Isenhour,4,,
KK Mathias,4,,
B Goldstein,4,,
S Sriboorapa,4,,
JS Sandhu,5,,
R Walton,6,,
E Derksen,7,,
FJM Meiland,7,,
HC Comijs,7,,
HG van der Roest,7,,
HPJ van Hout,7,,
APD Jansen,7,,
RM Droes,7,,
C Jonker,7,,
M Ishimitsu,9,,
M Hicks,9,,
G Borriello,9,,
W Gerard,9,,
R Nathan,9,,
R Anderson,9,,
W Brunette,9,,
P Prasad,9,,
A Hope,9,,
B Kolko,18,,
