Author,Clustering Coefficient
X Zhang,0.0
R Steinbeck,0.0
Z Fu,0.0
B Kolko,0.34545454545454546
E Rose,0.6
R Anderson,1.0
M Kurosu,1.0
L Pecchia,1.0
A Hope,1.0
D Koutsouris,1.0
C Boks,1.0
JW Rosenboom,1.0
E Johnson,1.0
A Bayor,1.0
A Navabi,1.0
SE Ross,1.0
W Brunette,1.0
CA Lee,1.0
T Gorman,1.0
R Tranfaglia,1.0
T Baker,1.0
CA Darr,1.0
K Perakis,1.0
SA Linnebur,1.0
JM Ruscin,1.0
T Yamanaka,1.0
G Konnis,1.0
G Ruddy,1.0
E Kyriacou,1.0
CS De Souza,1.0
C Putnam,1.0
M Hicks,1.0
C Pattichis,1.0
A Androulidakis,1.0
J Yaaqoubi,1.0
C Jacks,1.0
KA Siek,1.0
CF Leitao,1.0
K Phyrum,1.0
M Roberts,1.0
LM Haverhals,1.0
SG Mougiakakou,1.0
U Bracale,1.0
B Aryana,1.0
A Hashizume,1.0
H Papadopoulos,1.0
LC De Castro Salgado,1.0
