Pairs of publishing authors and their number of publications: 
S Opel, Z Franco 1
W Gerard, R Anderson 1
A Hope, L Schlenke 1
APD Jansen, HPJ van Hout 1
M Yunus, T Sibieude 1
R Anderson, J Keh 1
SA Linnebur, SE Ross 1
DA Nelson, Z Franco 1
T Mullaney, H Pettersson 1
M Kam, X Hua 1
MG Sandy, Z Franco 1
G Konnis, U Bracale 1
E Rose, R Walton 1
B Aryana, A Navabi 1
L Barnard, J Wesson 1
B Kolko, L Schlenke 1
B Kolko, E Johnson 1
HG van der Roest, APD Jansen 1
A Hope, W Brunette 1
S Ahmed, DA Nelson 1
S Ahmed, Z Franco 1
J Keh, M Kawooya 1
LC De Castro Salgado, CF Leitao 1
R Anderson, M Kawooya 1
LM Haverhals, CA Lee 1
JW Rosenboom, M Roberts 1
A Hope, M Ishimitsu 1
A Androulidakis, L Pecchia 1
R Anderson, W Gerard 1
S Shahid, E Krahmer 1
SG Mougiakakou, A Androulidakis 1
B Ariyatum, R Holland 1
A Hashizume, M Kurosu 1
CA Darr, JM Ruscin 1
S Bucolo, JH Matthews 1
P Prasad, G Borriello 1
HG van der Roest, HC Comijs 1
FJM Meiland, C Jonker 1
A Bayor, B Kolko 1
K Perakis, D Koutsouris 1
W Gerard, L Schlenke 1
A Dekhtyar, J Goldsmith 1
I Hussein, AW Yeo 1
A Lindgren, F Chen 1
JS Sandhu, P Altankhuyag 1
R Nathan, M Kawooya 1
C Boks, A Navabi 1
PA Biedrzycki, S Opel 1
M Hicks, M Ishimitsu 1
H Knoche, J Huang 1
A Hope, J Keh 1
HC Comijs, APD Jansen 1
NLM Noor, S Mehad 1
A Androulidakis, G Konnis 1
E Kyriacou, K Perakis 1
B Kolko, W Gerard 1
W Fungladda, C Pulkate 1
S Hailemariam, A Susi 1
F Chen, H Zhang 1
A Hope, G Ruddy 1
C Driesbach, B Kolko 1
CA Lee, SA Linnebur 1
B Kolko, K Saville 1
B Goldstein, KK Mathias 1
A Freudenthal, WD Tucker 1
CA Lee, SE Ross 1
N Poosanthanasarn, S Sriboorapa 1
SG Mougiakakou, R Tranfaglia 1
CA Lee, CA Darr 1
L Pecchia, C Pattichis 1
W Brunette, L Schlenke 1
KA Siek, JM Ruscin 1
FJM Meiland, HC Comijs 1
K Phyrum, M Roberts 1
C Jacks, K Phyrum 1
E Kyriacou, R Tranfaglia 1
R Holland, D Prommin 1
H Pettersson, E Stolterman 1
KA Siek, CA Darr 1
CA Darr, SA Linnebur 1
SG Mougiakakou, U Bracale 1
A Zewge, S Hailemariam 1
Z Fu, X Zhang 1
M Kam, A Tibuzzi 1
W Brunette, G Ruddy 1
G Borriello, B Kolko 1
W Gerard, M Ishimitsu 1
G Konnis, C Pattichis 1
C Driesbach, R Walton 1
J Hey, AM Agogino 1
R Rege, S Nagarkar 1
B Kolko, A Seidakmatova 1
JW Rosenboom, C Jacks 1
U Bracale, D Koutsouris 1
W Gerard, J Keh 1
J Goldsmith, B Goldstein 1
L Pecchia, D Koutsouris 1
P Sirisalee, D Prommin 1
E Derksen, C Jonker 1
A Susi, M Belachew 1
R Anderson, G Borriello 1
W Brunette, G Borriello 1
A Hope, W Gerard 1
C Jacks, M Roberts 1
K Phyrum, T Baker 1
P Prasad, B Kolko 1
E Derksen, HPJ van Hout 1
SA Linnebur, JM Ruscin 1
S Ahmed, PA Biedrzycki 1
A Villafiorita, M Belachew 1
M Yunus, E Lesueur 1
H Papadopoulos, C Pattichis 1
H Papadopoulos, L Pecchia 1
R Tranfaglia, C Pattichis 1
S Ahmed, MG Sandy 1
K Perakis, A Androulidakis 1
R Anderson, L Schlenke 1
KL Kumar, M Bhattacharya 1
M Glaser, WD Tucker 1
G Ruddy, R Anderson 1
C Jacks, T Baker 1
C Driesbach, A Seidakmatova 1
T Yamanaka, M Kurosu 1
HG van der Roest, E Derksen 1
L Schlenke, M Kawooya 1
LM Haverhals, SE Ross 1
A Zewge, M Belachew 1
W Gerard, M Hicks 1
HPJ van Hout, RM Droes 1
JS Sandhu, C Newman 1
MG Sandy, S Opel 1
K Weldemariam, S Hailemariam 1
K Weldemariam, A Villafiorita 1
M Hicks, G Borriello 1
KK Mathias, C Isenhour 1
J Hey, C Newman 1
W Fungladda, S Sriboorapa 1
A Dekhtyar, C Isenhour 1
M Hicks, G Ruddy 1
H Pettersson, T Nyholm 1
KA Siek, SE Ross 1
F Chen, PW Jordan 1
DA Nelson, MG Sandy 1
SG Mougiakakou, C Pattichis 1
R Walton, A Seidakmatova 1
A Zewge, K Weldemariam 1
JW Rosenboom, T Baker 1
E Kyriacou, H Papadopoulos 1
W Brunette, J Keh 1
A Lindgren, PW Jordan 1
K Saville, W Gerard 1
G Konnis, R Tranfaglia 1
M Ishimitsu, B Kolko 1
R Tranfaglia, D Koutsouris 1
W Brunette, M Ishimitsu 1
CA Lee, KA Siek 1
H Papadopoulos, U Bracale 1
N Poosanthanasarn, C Pulkate 1
JS Sandhu, J Hey 1
HC Comijs, C Jonker 1
H Papadopoulos, R Tranfaglia 1
HG van der Roest, FJM Meiland 1
U Bracale, C Pattichis 1
K Weldemariam, M Belachew 1
G Ruddy, B Kolko 1
SG Mougiakakou, K Perakis 1
S Hailemariam, M Belachew 1
C Lohachit, S Sriboorapa 1
A Villafiorita, A Susi 1
G Borriello, R Nathan 1
PW Jordan, H Zhang 1
A Androulidakis, U Bracale 1
I Hussein, E Seman 1
ML Best, D Thakur 1
E Kyriacou, A Androulidakis 1
A Lindgren, H Zhang 1
M Ishimitsu, R Anderson 1
CA Darr, SE Ross 1
H Papadopoulos, D Koutsouris 1
T Gorman, A Bayor 1
B Aryana, C Boks 1
SG Mougiakakou, E Kyriacou 1
D Thakur, B Kolko 1
T Sibieude, E Lesueur 1
K Perakis, L Pecchia 1
S Ahmed, S Opel 1
ML Best, B Kolko 1
A Zewge, A Villafiorita 1
KA Siek, SA Linnebur 1
R Walton, B DeRenzi 1
HPJ van Hout, C Jonker 1
L Pecchia, U Bracale 1
S Sriboorapa, C Pulkate 1
E Kyriacou, L Pecchia 1
A Hope, P Prasad 1
A Tibuzzi, X Hua 1
HC Comijs, E Derksen 1
M Mahmud, AW Yeo 1
K Weldemariam, A Susi 1
E Rose, E Johnson 1
E Kyriacou, C Pattichis 1
A Androulidakis, R Tranfaglia 1
M Ishimitsu, G Borriello 1
FJM Meiland, APD Jansen 1
P Chininthorn, M Glaser 1
E Rose, A Bayor 1
E Derksen, RM Droes 1
WARWM Isa, NLM Noor 1
K Perakis, H Papadopoulos 1
J Goldsmith, KK Mathias 1
B Kolko, W Brunette 1
J Keh, L Schlenke 1
PRS Rao, J Huang 1
DA Nelson, S Opel 1
A Androulidakis, D Koutsouris 1
B Kolko, J Keh 1
HG van der Roest, C Jonker 1
K Perakis, G Konnis 1
JM Ruscin, SE Ross 1
CA Lee, JM Ruscin 1
K Perakis, C Pattichis 1
N Werghi, M Al Blushi 1
M Hicks, R Nathan 1
A Dekhtyar, KK Mathias 1
APD Jansen, RM Droes 1
HG van der Roest, RM Droes 1
W Brunette, K Saville 1
LM Haverhals, JM Ruscin 1
F Kamoun, N Werghi 1
APD Jansen, C Jonker 1
B Ariyatum, P Sirisalee 1
W Gerard, P Prasad 1
H Papadopoulos, G Konnis 1
E Kyriacou, D Koutsouris 1
LM Haverhals, KA Siek 1
P Altankhuyag, D Amarsaikhan 1
P Chininthorn, WD Tucker 1
R Tranfaglia, L Pecchia 1
C Putnam, B Kolko 1
DA Nelson, PA Biedrzycki 1
B Goldstein, C Isenhour 1
T Nyholm, E Stolterman 1
T Gorman, J Yaaqoubi 1
JS Sandhu, D Amarsaikhan 1
J Keh, R Nathan 1
E Johnson, B Kolko 1
T Gorman, E Rose 1
N Poosanthanasarn, W Fungladda 1
E Derksen, APD Jansen 1
SG Mougiakakou, L Pecchia 1
E Kyriacou, U Bracale 1
R Anderson, W Brunette 1
M Glaser, A Freudenthal 1
LM Haverhals, CA Darr 1
N Poosanthanasarn, C Lohachit 1
W Brunette, P Prasad 1
T Mullaney, E Stolterman 1
K Perakis, U Bracale 1
P Prasad, R Anderson 1
R Holland, P Sirisalee 1
E Johnson, O Salikhbaeva 1
LM Haverhals, SA Linnebur 1
FJM Meiland, RM Droes 1
H Papadopoulos, A Androulidakis 1
C Newman, AM Agogino 1
FJM Meiland, HPJ van Hout 1
C Pattichis, D Koutsouris 1
A Zewge, A Susi 1
S Hailemariam, A Villafiorita 1
SG Mougiakakou, D Koutsouris 1
