Author,Number of Papers
J Yaaqoubi,1
E Lesueur,1
L Schlenke,1
A Villafiorita,1
T Mullaney,1
E Stolterman,1
H Knoche,1
H Pettersson,1
A Zewge,1
MG Sandy,1
A Susi,1
S Ahmed,1
K Weldemariam,1
T Nyholm,1
P Chininthorn,1
PRS Rao,1
PA Biedrzycki,1
K Saville,1
R Anderson,1
J Huang,1
R Nathan,1
WD Tucker,1
NLA Alvarez,1
M Yunus,1
R Walton,1
J Spencer,1
A Freudenthal,1
M Glaser,1
T Sibieude,1
J Keh,1
S Hailemariam,1
S Opel,1
Z Franco,1
M Belachew,1
D Lilley,1
DA Nelson,1
A Joshi,2
M Kawooya,2
J Zhang,2
J Machiavelli,2
M de Araujo Novaes,2
R Vogler,2
S Iyengar,2
A Hope,2
C Johnson,2
W Brunette,2
W Gerard,2
CE Hsu,2
B Kolko,3
