First Author,2,3,4,5,6,7,8,9
P Chininthorn,M Glaser,A Freudenthal,WD Tucker,,,,,
M Yunus,T Sibieude,E Lesueur,,,,,,
T Mullaney,H Pettersson,T Nyholm,E Stolterman,,,,,
S Ahmed,DA Nelson,PA Biedrzycki,MG Sandy,S Opel,Z Franco,,,
R Walton,J Yaaqoubi,B Kolko,,,,,,
A Joshi,M de Araujo Novaes,J Machiavelli,S Iyengar,R Vogler,C Johnson,J Zhang,CE Hsu,
B Kolko,A Hope,W Brunette,K Saville,W Gerard,M Kawooya,,,
A Joshi,M de Araujo Novaes,J Machiavelli,S Iyengar,R Vogler,C Johnson,J Zhang,CE Hsu,
H Knoche,PRS Rao,J Huang,,,,,,
J Spencer,D Lilley,,,,,,,
NLA Alvarez,,,,,,,,
A Zewge,K Weldemariam,S Hailemariam,A Villafiorita,A Susi,M Belachew,,,
R Anderson,W Brunette,W Gerard,B Kolko,A Hope,J Keh,L Schlenke,R Nathan,M Kawooya
