Author,Number of Papers,,,
N Poosanthanasarn,1,,,
P Cole,1,,,
K Yamazaki,1,,,
D Amarsaikhan,1,,,
CA Lee,1,,,
M Kam,1,,,
R Holland,1,,,
G Vitiello,1,,,
P Chininthorn,1,,,1.252631579
F Chen,1,,,
G Ho,1,,,
JW Rosenboom,1,,,
M Roberts,1,,,
E Stolterman,1,,,
M Yunus,1,,,
DA Nelson,1,,,
B Aryana,1,,,
SE Ross,1,,,
A Freudenthal,1,,,
H Papadopoulos,1,,,
K Weldemariam,1,,,
K Pecknold,1,,,
L Barnard,1,,,
S Bucolo,1,,,
C Isenhour,1,,,
KA Siek,1,,,
HC Comijs,1,,,
E Blank,1,,,
A Lindgren,1,,,
H Knoche,1,,,
PRS Rao,1,,,
U Bracale,1,,,
R Tranfaglia,1,,,
MB Parker,1,,,
ML Best,1,,,
S Ahmed,1,,,
A Seidakmatova,1,,,
AM Agogino,1,,,
JM Ruscin,1,,,
X Zhang,1,,,
A Coutsoudis,1,,,
J Spencer,1,,,
S Opel,1,,,
E Seman,1,,,
K Israel-Ballard,1,,,
A Puckett,1,,,
C Driesbach,1,,,
SA Linnebur,1,,,
C Lohachit,1,,,
A Bayor,1,,,
M Ishimitsu,1,,,
H Pettersson,1,,,
E Kyriacou,1,,,
E Krahmer,1,,,
A Villafiorita,1,,,
T Baker,1,,,
CA Darr,1,,,
PA Biedrzycki,1,,,
S Hailemariam,1,,,
S Kimaiyo,1,,,
A Kavanaugh,1,,,
S Sriboorapa,1,,,
C Boks,1,,,
SG Mougiakakou,1,,,
A Zewge,1,,,
NLA Alvarez,1,,,
K Phyrum,1,,,
J Hey,1,,,
M Romano,1,,,
D Lilley,1,,,
C Jonker,1,,,
JH Matthews,1,,,
P Altankhuyag,1,,,
P Prasad,1,,,
J Pinfold,1,,,
KK Mathias,1,,,
K Saville,1,,,
D Thakur,1,,,
A Dekhtyar,1,,,
Z Fu,1,,,
X Hua,1,,,
M Al Blushi,1,,,
N Perin,1,,,
HPJ van Hout,1,,,
T Gorman,1,,,
G Ruddy,1,,,
M Belachew,1,,,
E Lesueur,1,,,
F Kamoun,1,,,
L Pecchia,1,,,
R Vedanthan,1,,,
L Schlenke,1,,,
C Hutchinson,1,,,
P Reimers,1,,,
K Perakis,1,,,
WARWM Isa,1,,,
A Navabi,1,,,
T Sibieude,1,,,
A Hashizume,1,,,
N Tuikong,1,,,
T Yamanaka,1,,,
S Shahid,1,,,
R Steinbeck,1,,,
LC De Castro Salgado,1,,,
E Derksen,1,,,
HG van der Roest,1,,,
LM Haverhals,1,,,
CF Leitao,1,,,
G Tortora,1,,,
B Ariyatum,1,,,
C Jacks,1,,,
S Nagarkar,1,,,
J Huang,1,,,
J Matovu,1,,,
PW Jordan,1,,,
G Konnis,1,,,
M Were,1,,,
P Sirisalee,1,,,
Z Franco,1,,,
H Zhang,1,,,
NLM Noor,1,,,
S Mehad,1,,,
KL Kumar,1,,,
A Susi,1,,,
M Bhattacharya,1,,,
P Di Giovanni,1,,,
R Chaudhri,1,,,
D Koutsouris,1,,,
R Hinman,1,,,
C Pattichis,1,,,
A Androulidakis,1,,,
C Newman,1,,,
C Pulkate,1,,,
MG Sandy,1,,,
MB Motlhabi,1,,,
B DeRenzi,1,,,
K Asano,1,,,
RM Droes,1,,,
APD Jansen,1,,,
M Anda,1,,,
T Mullaney,1,,,
D Vlachos,1,,,
AW Yeo,1,,,
V Fuster,1,,,
T Nyholm,1,,,
D Tatar,1,,,
M Sebillo,1,,,
Z Ying,1,,,
FJM Meiland,1,,,
J Keh,1,,,
CS De Souza,1,,,
A Tibuzzi,1,,,
J Goldsmith,1,,,
B Goldstein,1,,,
N Werghi,1,,,
W Fungladda,1,,,
M Kurosu,1,,,
J Kamano,1,,,
D Prommin,1,,,
O Salikhbaeva,1,,,
J Wesson,1,,,
L Misoi,1,,,
M Hicks,2,,,
J Zhang,2,,,
A Joshi,2,,,
S Iyengar,2,,,
G Borriello,2,,,
M Mahmud,2,,,
R Nathan,2,,,
CE Hsu,2,,,
WD Tucker,2,,,
M de Araujo Novaes,2,,,
JS Sandhu,2,,,
J Yaaqoubi,2,,,
C Johnson,2,,,
R Vogler,2,,,
M Kawooya,2,,,
J Machiavelli,2,,,
R Rege,2,,,
M Glaser,2,,,
E Johnson,2,,,
I Hussein,2,,,
R Anderson,3,,,
W Gerard,3,,,
E Rose,3,,,
C Putnam,3,,,
W Brunette,4,,,
A Hope,4,,,
R Walton,4,,,
B Kolko,12,,,
