Pairs of publishing authors and their number of publications: 
KL Kumar, M Bhattacharya 1
DA Nelson, Z Franco 1
JS Sandhu, J Hey 1
G Tortora, G Vitiello 1
J Goldsmith, KK Mathias 1
P Owiti, A Yeung 1
W Brunette, G Ruddy 1
S Lazem, M Elteir 1
L Schlenke, M Kawooya 1
Y Jeong, J Lee 1
L Pecchia, U Bracale 1
A Hope, P Prasad 1
A Shoa'la, WM Sheta 1
R Vedanthan, CR Horowitz 1
SL Martins, JL Holl 1
MB Motlhabi, M Glaser 1
B Kolko, E Rose 1
J Kamano, C Hutchinson 1
B Kolko, W Brunette 1
E Blank, M Were 1
C Catalani, P Biondich 1
U Bracale, D Koutsouris 1
C Lohachit, S Sriboorapa 1
F Kamoun, N Werghi 1
N Poosanthanasarn, C Pulkate 1
R Chaudhri, D Vlachos 1
A Coutsoudis, P Reimers 1
W Brunette, L Schlenke 1
E Rose, J Yaaqoubi 1
G Borriello, B Kolko 1
C Jonker, RM Droes 1
CA Lee, CA Darr 1
G Konnis, U Bracale 1
S Hailemariam, A Susi 1
R Chaudhri, A Coutsoudis 1
C Catalani, L Diero 1
R Vedanthan, J Kamano 1
S Shahid, E Krahmer 1
CR Horowitz, S Kimaiyo 1
APD Jansen, HPJ van Hout 1
D Ascheim, EJ Velazquez 1
E Blank, S Kimaiyo 1
S Lazem, A Shoa'la 1
P Cole, M Anda 1
J Goldsmith, C Isenhour 1
S Opel, Z Franco 1
A Lindgren, PW Jordan 1
R Anderson, W Brunette 1
R Anderson, J Keh 1
L Diero, A Yeung 1
O Sohaib, K Kang 1
W Brunette, J Keh 1
G Vitiello, P Di Giovanni 1
CR Horowitz, V Fuster 1
E Green, L Diero 1
B Ariyatum, P Sirisalee 1
BP Shrimali, R Flournoy 1
SA Linnebur, SE Ross 1
E Kyriacou, H Papadopoulos 1
N Poosanthanasarn, W Fungladda 1
E Blank, R Vedanthan 1
I Hussein, E Seman 1
P Owiti, P Biondich 1
KA Siek, JM Ruscin 1
J Kamano, D Ascheim 1
S Sriboorapa, C Pulkate 1
E Kyriacou, G Konnis 1
B Aryana, T Clemmensen 1
LM Haverhals, KA Siek 1
A Androulidakis, L Pecchia 1
A Keny, P Biondich 1
W Gerard, J Keh 1
W Gerard, R Anderson 1
A Lindgren, F Chen 1
C Catalani, A Keny 1
K Perakis, C Pattichis 1
S Ahmed, Z Franco 1
FJM Meiland, RM Droes 1
A Puckett, D Tatar 1
E Blank, V Fuster 1
H Papadopoulos, C Pattichis 1
I Hussein, AW Yeo 1
J Kamano, CR Horowitz 1
S Lazem, WM Sheta 1
A Hope, G Borriello 1
M Sebillo, G Vitiello 1
FJM Meiland, APD Jansen 1
A Hope, J Keh 1
B Kolko, K Saville 1
C Driesbach, R Walton 1
C Putnam, R Walton 1
FJM Meiland, E Derksen 1
E Blank, C Hutchinson 1
A Keny, D Israelski 1
P Cole, J Pinfold 1
A Androulidakis, R Tranfaglia 1
APD Jansen, C Jonker 1
SG Mougiakakou, D Koutsouris 1
N Tuikong, L Misoi 1
LM Haverhals, JM Ruscin 1
B Kolko, L Schlenke 1
KA Siek, SA Linnebur 1
S Ahmed, DA Nelson 1
K Saville, W Gerard 1
A Hope, L Schlenke 1
M Glaser, A Freudenthal 1
SG Mougiakakou, U Bracale 1
R Anderson, G Borriello 1
B Kolko, A Seidakmatova 1
C Malin, R Flournoy 1
E Kyriacou, D Koutsouris 1
A Hope, G Ruddy 1
AK Sin, R Sulaiman 1
SL Martins, SQ Mistretta 1
CA Lee, SE Ross 1
W Gerard, M Hicks 1
J Goldsmith, B Goldstein 1
