Author,Degrees
R Steinbeck,0
N Takeyama,0
Z Ying,0
K Pecknold,0
NLA Alvarez,0
B Longo,0
R Rege,1
S Nagarkar,1
R Hinman,1
D Lilley,1
Z Fu,1
S Bucolo,1
CA Mattson,1
R Chhatpar,1
B DeRenzi,1
DK Rosner,1
J Wesson,1
JH Matthews,1
S Shahid,1
A Kumar,1
K Yamazaki,1
S Maskara,1
KG Brand,1
H Tawfik,1
O Sohaib,1
K Asano,1
M Ames,1
L Barnard,1
J Matovu,1
AE Wood,1
A Campbell,1
E Krahmer,1
KL Kumar,1
S Fox,1
K Kang,1
X Zhang,1
C Le Dantec,1
M Bhattacharya,1
J Spencer,1
O Anya,1
R Fabricant,1
PRS Rao,2
A Navabi,2
M Kurosu,2
S Kim,2
CF Leitao,2
ML Best,2
N Werghi,2
NLM Noor,2
J Lee,2
D Amarsaikhan,2
P Altankhuyag,2
A Kavanaugh,2
M Ntinda,2
J Huang,2
S Mehad,2
M Yunus,2
H Thinyane,2
M Al Blushi,2
E Seman,2
CS De Souza,2
D Tatar,2
Y Jeong,2
X Hua,2
LC De Castro Salgado,2
WARWM Isa,2
T Yamanaka,2
O Salikhbaeva,2
D Loffler,2
E Lesueur,2
H Knoche,2
A Puckett,2
AW Yeo,2
J Hurtienne,2
D Thakur,2
A Tibuzzi,2
T Clemmensen,2
T Sibieude,2
K Lindner,2
F Kamoun,2
A Hashizume,2
M Kam,2
I Seiborger,2
B Ariyatum,3
G Ho,3
M Anda,3
R Sulaiman,3
H Zhang,3
AM Agogino,3
A Boden,3
P Sirisalee,3
I Hussein,3
B Aryana,3
T Nyholm,3
DW Randall,3
H Pettersson,3
D Prommin,3
R Holland,3
A Seidakmatova,3
V Wulf,3
F Chen,3
P Cole,3
J Hey,3
J Pinfold,3
AK Sin,3
C Driesbach,3
A Shoa'la,3
C Newman,3
E Stolterman,3
P Chininthorn,3
PW Jordan,3
J Liu,3
T Mullaney,3
HB Zaman,3
A Freudenthal,3
A Ahmad,3
M Mahmud,3
M Elteir,3
S Lazem,3
C Boks,3
A Lindgren,3
MB Parker,3
MB Motlhabi,3
WM Sheta,3
C Malin,4
M Romano,4
N Poosanthanasarn,4
P Di Giovanni,4
W Fungladda,4
E Johnson,4
BP Shrimali,4
G Vitiello,4
SL Martins,4
J Luginbuhl,4
G Tortora,4
JL Holl,4
A Dekhtyar,4
J Goldsmith,4
SQ Mistretta,4
T Gorman,4
C Pulkate,4
E Bartlett,4
ML Gilliam,4
M Roberts,4
C Putnam,4
K Phyrum,4
C Isenhour,4
C Jacks,4
KK Mathias,4
JW Rosenboom,4
C Lohachit,4
T Baker,4
A Siegel,4
B Goldstein,4
A Bayor,4
R Flournoy,4
S Sriboorapa,4
M Sebillo,4
J Yaaqoubi,5
Z Franco,5
PA Biedrzycki,5
G Ruddy,5
M Belachew,5
MG Sandy,5
A Zewge,5
A Susi,5
M Glaser,5
K Weldemariam,5
A Villafiorita,5
K Saville,5
S Ahmed,5
S Opel,5
S Hailemariam,5
DA Nelson,5
WD Tucker,5
JS Sandhu,5
KA Siek,6
K Israel-Ballard,6
EJ Velazquez,6
P Reimers,6
S Venkatraman,6
R Gopalan,6
A Coutsoudis,6
CR Horowitz,6
D Modi,6
SE Ross,6
CA Darr,6
P Shah,6
S Desai,6
JM Ruscin,6
SA Linnebur,6
N Perin,6
CA Lee,6
G Desai,6
D Vlachos,6
R Chaudhri,6
S Shah,6
LM Haverhals,6
E Green,7
HPJ van Hout,7
C Jonker,7
D Israelski,7
L Diero,7
C Johnson,7
CE Hsu,7
R Walton,7
J Zhang,7
FJM Meiland,7
A Yeung,7
P Biondich,7
J Machiavelli,7
A Keny,7
APD Jansen,7
E Rose,7
R Vogler,7
HG van der Roest,7
HC Comijs,7
RM Droes,7
A Joshi,7
C Catalani,7
P Owiti,7
E Derksen,7
M de Araujo Novaes,7
S Iyengar,7
J Keh,8
L Schlenke,8
M Kawooya,9
P Prasad,9
M Ishimitsu,9
H Papadopoulos,10
U Bracale,10
SG Mougiakakou,10
D Tulienge,10
N Tuikong,10
L Misoi,10
C Pattichis,10
E Kyriacou,10
R Tranfaglia,10
A Androulidakis,10
C Hutchinson,10
K Perakis,10
D Koutsouris,10
M Hicks,10
M Were,10
E Blank,10
L Pecchia,10
G Konnis,10
R Nathan,12
V Fuster,12
J Kamano,12
D Ascheim,12
S Kimaiyo,12
R Vedanthan,12
R Anderson,13
W Gerard,13
W Brunette,14
A Hope,14
G Borriello,15
B Kolko,26
