Author,Number of Papers,,,
H Zhang,1,,,
E Lesueur,1,,,
C Lohachit,1,,Max,12
M Belachew,1,,Min,1
HC Comijs,1,,Mean,1.254826255
D Koutsouris,1,,Median,1
S Kim,1,,Mode,1
AK Sin,1,,1st QRT,1
J Lee,1,,3rd QRT,1
PRS Rao,1,,99th Per,4
Z Franco,1,,,
WARWM Isa,1,,,
A Coutsoudis,1,,,
A Androulidakis,1,,,
A Kavanaugh,1,,,
B Goldstein,1,,,
L Pecchia,1,,,
A Campbell,1,,,
A Keny,1,,,
MG Sandy,1,,,
RM Droes,1,,,
G Ho,1,,,
F Kamoun,1,,,
H Tawfik,1,,,
CA Mattson,1,,,
EJ Velazquez,1,,,
HPJ van Hout,1,,,
D Amarsaikhan,1,,,
C Pulkate,1,,,
D Tatar,1,,,
MB Motlhabi,1,,,
L Schlenke,1,,,
V Wulf,1,,,
A Boden,1,,,
U Bracale,1,,,
B DeRenzi,1,,,
SQ Mistretta,1,,,
M Ishimitsu,1,,,
K Israel-Ballard,1,,,
E Krahmer,1,,,
Y Jeong,1,,,
K Saville,1,,,
P Sirisalee,1,,,
J Wesson,1,,,
R Fabricant,1,,,
D Vlachos,1,,,
O Sohaib,1,,,
M Kurosu,1,,,
D Loffler,1,,,
J Hey,1,,,
R Chhatpar,1,,,
A Shoa'la,1,,,
AW Yeo,1,,,
T Clemmensen,1,,,
PA Biedrzycki,1,,,
FJM Meiland,1,,,
C Jacks,1,,,
G Ruddy,1,,,
P Cole,1,,,
G Konnis,1,,,
CA Darr,1,,,
A Kumar,1,,,
LC De Castro Salgado,1,,,
P Prasad,1,,,
J Luginbuhl,1,,,
A Yeung,1,,,
N Takeyama,1,,,
S Shahid,1,,,
K Phyrum,1,,,
BP Shrimali,1,,,
S Opel,1,,,
T Mullaney,1,,,
P Shah,1,,,
DK Rosner,1,,,
A Freudenthal,1,,,
H Papadopoulos,1,,,
JL Holl,1,,,
J Spencer,1,,,
NLM Noor,1,,,
SL Martins,1,,,
G Desai,1,,,
HB Zaman,1,,,
J Keh,1,,,
D Thakur,1,,,
KA Siek,1,,,
CS De Souza,1,,,
H Pettersson,1,,,
P Owiti,1,,,
AE Wood,1,,,
P Di Giovanni,1,,,
A Seidakmatova,1,,,
SG Mougiakakou,1,,,
K Asano,1,,,
T Nyholm,1,,,
J Liu,1,,,
Z Ying,1,,,
O Anya,1,,,
J Hurtienne,1,,,
S Nagarkar,1,,,
A Navabi,1,,,
L Barnard,1,,,
SA Linnebur,1,,,
ML Gilliam,1,,,
L Diero,1,,,
C Isenhour,1,,,
A Lindgren,1,,,
D Modi,1,,,
J Goldsmith,1,,,
KG Brand,1,,,
A Bayor,1,,,
A Hashizume,1,,,
E Derksen,1,,,
R Sulaiman,1,,,
M Al Blushi,1,,,
N Poosanthanasarn,1,,,
M Anda,1,,,
X Hua,1,,,
B Longo,1,,,
P Chininthorn,1,,,
H Thinyane,1,,,
D Prommin,1,,,
K Perakis,1,,,
J Huang,1,,,
R Tranfaglia,1,,,
F Chen,1,,,
K Yamazaki,1,,,
S Desai,1,,,
LM Haverhals,1,,,
R Steinbeck,1,,,
M Ames,1,,,
M Sebillo,1,,,
O Salikhbaeva,1,,,
C Jonker,1,,,
A Villafiorita,1,,,
Z Fu,1,,,
T Baker,1,,,
CF Leitao,1,,,
ML Best,1,,,
DW Randall,1,,,
S Sriboorapa,1,,,
P Biondich,1,,,
M Elteir,1,,,
T Sibieude,1,,,
E Seman,1,,,
N Werghi,1,,,
W Fungladda,1,,,
JM Ruscin,1,,,
D Tulienge,1,,,
A Zewge,1,,,
C Catalani,1,,,
S Venkatraman,1,,,
A Dekhtyar,1,,,
A Siegel,1,,,
A Tibuzzi,1,,,
A Ahmad,1,,,
E Green,1,,,
K Lindner,1,,,
CR Horowitz,1,,,
C Driesbach,1,,,
K Pecknold,1,,,
M Roberts,1,,,
R Holland,1,,,
A Susi,1,,,
AM Agogino,1,,,
KL Kumar,1,,,
S Maskara,1,,,
D Israelski,1,,,
E Kyriacou,1,,,
J Matovu,1,,,
M Romano,1,,,
P Reimers,1,,,
T Gorman,1,,,
P Altankhuyag,1,,,
M Bhattacharya,1,,,
SE Ross,1,,,
HG van der Roest,1,,,
S Lazem,1,,,
JH Matthews,1,,,
WM Sheta,1,,,
G Tortora,1,,,
S Ahmed,1,,,
APD Jansen,1,,,
MB Parker,1,,,
C Pattichis,1,,,
G Vitiello,1,,,
KK Mathias,1,,,
PW Jordan,1,,,
J Pinfold,1,,,
S Hailemariam,1,,,
X Zhang,1,,,
M Kam,1,,,
N Perin,1,,,
C Newman,1,,,
K Weldemariam,1,,,
A Puckett,1,,,
C Malin,1,,,
E Stolterman,1,,,
R Hinman,1,,,
CA Lee,1,,,
R Gopalan,1,,,
I Seiborger,1,,,
M Ntinda,1,,,
E Bartlett,1,,,
T Yamanaka,1,,,
NLA Alvarez,1,,,
S Bucolo,1,,,
JW Rosenboom,1,,,
H Knoche,1,,,
R Flournoy,1,,,
B Ariyatum,1,,,
S Shah,1,,,
D Lilley,1,,,
M Yunus,1,,,
S Mehad,1,,,
R Chaudhri,1,,,
DA Nelson,1,,,
K Kang,1,,,
G Borriello,2,,,
M Were,2,,,
A Joshi,2,,,
WD Tucker,2,,,
S Iyengar,2,,,
C Le Dantec,2,,,
M Kawooya,2,,,
JS Sandhu,2,,,
E Johnson,2,,,
R Rege,2,,,
S Fox,2,,,
J Machiavelli,2,,,
R Nathan,2,,,
J Zhang,2,,,
E Blank,2,,,
C Johnson,2,,,
D Ascheim,2,,,
L Misoi,2,,,
M de Araujo Novaes,2,,,
R Vogler,2,,,
J Yaaqoubi,2,,,
CE Hsu,2,,,
I Hussein,2,,,
M Hicks,2,,,
M Mahmud,2,,,
C Hutchinson,2,,,
B Aryana,2,,,
M Glaser,2,,,
N Tuikong,2,,,
C Boks,2,,,
S Kimaiyo,3,,,
R Vedanthan,3,,,
E Rose,3,,,
C Putnam,3,,,
W Gerard,3,,,
R Anderson,3,,,
J Kamano,3,,,
V Fuster,3,,,
R Walton,4,,,
W Brunette,4,,,
A Hope,4,,,
B Kolko,12,,,
